name,estab_year,employees_count,location,job_ids,skills,hr,Designation,Involvement,Exp,url
thinkify.io,Founded in 2018,10 - 50 employees,Bangalore,196961,"Business Development, Corporate Sales, Direct Sales, International Sales, Sales",Ashwin Modi,Business / Sales Head,Sales and Business → Sales / Business Developme,3-7 Years,https://www.instahyre.com/job-196961-business-sales-head-at-thinkify-2-bangalore/
Xcelent Intersec,Founded in 2017,0 - 10 employees,Work From Home,266287,"Business Development, Direct Sales, Sales, Telecalling",Rashmi Choudhary,Business Development,Sales and Business → Sales / Business Developme,1-3 Years,https://www.instahyre.com/job-266287-business-development-at-xcelent-intersec-work-from-home/
Careium Pharmaceuticals,Founded in 2021,0 - 10 employees,Mumbai,263914,"Accounting, Auditing, Finance, Taxation, Budgeting, External Audit, Financial Analysis, GST, Income Tax, Internal Audit, MIS, Sales Tax, Tally, TDS",Rahul Gupta,Senior Accountant,Operations → Accounting / Finance,2-6 Years,https://www.instahyre.com/job-263914-senior-accountant-at-careium-pharmaceuticals-mumbai/
Aditi Tracking,Founded in 2011,50 - 200 employees,"Mumbai, Navi Mumbai",239611,"Business Development, Corporate Sales, Direct Sales, Sales",Atspl Hr,Asst. Sales Manager,Sales and Business → Sales / Business Developme,3-7 Years,https://www.instahyre.com/job-239611-asst-sales-manager-at-aditi-tracking-mumbai-navi-mumbai/
Foundation AI,Founded in 2018,10 - 50 employees,"Hyderabad, Work From Home",236699,"Customer Service, Key Account Management",Nikhila Shree,Document Review & Validator Analyst,Sales and Business → Customer Service,1-3 Years,https://www.instahyre.com/job-236699-document-review-validator-analyst-at-foundation-ai-hyderabad-work-from-home/
Manupatra,Founded in 2000,50 - 200 employees,Noida,264512,"Customer Interaction, Customer Relationship, Customer Service, Key Account Management",Swati Sehgal,Client Relationship Manager - Saas Product,Sales and Business → Customer Service,3-7 Years,https://www.instahyre.com/job-264512-client-relationship-manager-saas-product-at-manupatra-noida/
Renovo Assets,Founded in 2015,10 - 50 employees,"Chandigarh, Delhi, Mumbai",209910,Operations Management,Mansi Kanyal,Debt Recovery Officer,Operations → Operations Manageme,0-2 Years,https://www.instahyre.com/job-209910-debt-recovery-officer-at-renovo-assets-chandigarh-delhi-mumbai/
The Legal Base,Founded in 2020,10 - 50 employees,"Chandigarh, Mohali",199336,"Business Development, Corporate Sales, International Sales, Sales",Krati Sharma,Business Development Manager,Sales and Business → Sales / Business Developme,6-10 Years,https://www.instahyre.com/job-199336-business-development-manager-at-the-legal-base-chandigarh-mohali/
Apptad,Founded in 2013,500 - 1000 employees,Noida,249467,"General Management, Corporate Strategy, Strategic Planning",Nikita,Executive Assistant,Sales and Business → General Management / Strategy,2-4 Years,https://www.instahyre.com/job-249467-executive-assistant-at-apptad-noida/
BlueStone.com,Founded in 2011,200 - 500 employees,"Bangalore, Chennai, Hyderabad",230509,"Direct Sales, Sales",Arpita Chattopadhyay,Sales Executive - Retail Sales,Sales and Business → Sales / Business Developme,0-4 Years,https://www.instahyre.com/job-230509-sales-executive-retail-sales-at-bluestone-bangalore-chennai-hyderabad/
A A Garg & Co,Founded in 2020,10 - 50 employees,Mumbai,248940,"Business Development, Corporate Sales, Sales",Vishakha Kharade,Associate Sales Manager,Sales and Business → Sales / Business Developme,3-5 Years,https://www.instahyre.com/job-248940-associate-sales-manager-at-a-a-garg-co-mumbai/
ACME Group,Founded in 2012,50 - 200 employees,Noida,231007,"Business Development, Corporate Sales, Direct Sales, Sales, Telecalling",Prefect Ed,Wealth Management Executive,Sales and Business → Sales / Business Developme,1-5 Years,https://www.instahyre.com/job-231007-wealth-management-executive-at-acme-group-noida/
Booking Holdings,Founded in 1996,More than 1000 employees,Bangalore,255062,"Accounting, Auditing, Finance, Chartered Accountant, Financial Reporting",Sporshita Ray,Manager - Fixed Assets and Lease Accounting,Operations → Accounting / Finance,11-15 Years,https://www.instahyre.com/job-255062-manager-fixed-assets-and-lease-accounting-at-booking-holdings-bangalore/
Booking Holdings,Founded in 1996,More than 1000 employees,Bangalore,256825,"GRC, ITGC, SAP S4 HANA, SAP Security, SOD",Sporshita Ray,Risk & Controls - Specialist SOD,IT Operations and Support → IT Security,3-7 Years,https://www.instahyre.com/job-256825-risk-controls-specialist-sod-at-booking-holdings-bangalore/
Expand My Business,Founded in 2018,200 - 500 employees,Gurgaon,261355,"Business Development, International Sales, Sales",Radhika Goel,Business Development Associate,Sales and Business → Sales / Business Developme,1-3 Years,https://www.instahyre.com/job-261355-business-development-associate-at-expand-my-business-gurgaon/
Market Expertise,Founded in 2011,50 - 200 employees,Pune,246937,"Customer Interaction, Customer Relationship, Customer Service",Siya Chavan,Primary Research Analyst,Sales and Business → Customer Service,1-3 Years,https://www.instahyre.com/job-246937-primary-research-analyst-at-market-expertise-pune/
Quantum Leap Learning Solutions,Founded in 2006,50 - 200 employees,Bangalore,253839,"Logistics Management, Operations Management, Process Improvement, Production Management, Supply Chain Management",Abhishek S Thalanki,Progress Partner - Business Coach,Operations → Operations Manageme,5-9 Years,https://www.instahyre.com/job-253839-progress-partner-business-coach-at-quantum-leap-learning-solutions-bangalore/
Rippling,Founded in 2016,More than 1000 employees,Bangalore,254525,"Accounting, Finance, Payroll Management",Hema Negi,Senior Manager- Implementation Operations,Operations → Accounting / Finance,10-14 Years,https://www.instahyre.com/job-254525-senior-manager-implementation-operations-at-rippling-bangalore/
The Ideaz Factory,Founded in 2013,50 - 200 employees,"Chandigarh, Noida",264592,"Content Writing, English Content, Hindi Content",Rashika Deswal,Content Writer,Marketing → Content Writing,2-6 Years,https://www.instahyre.com/job-264592-content-writer-at-the-ideaz-factory-chandigarh-noida/
UloApp,Founded in 2017,10 - 50 employees,Mumbai,266902,"General Management, Corporate Strategy, Strategic Planning",Uloapp A New Wave Of Living,Senior Manager - Strategic and Management,Sales and Business → General Management / Strategy,2-6 Years,https://www.instahyre.com/job-266902-senior-manager-strategic-and-management-at-uloapp-mumbai/
Univariety,Founded in 2011,50 - 200 employees,Work From Home,154018,"Business Development, Corporate Sales, Direct Sales, International Sales, Lead Generation, Revenue Management, Sales",Sunitha Mudiraj,B2B Sales Manager,Sales and Business → Sales / Business Developme,1-4 Years,https://www.instahyre.com/job-154018-b2b-sales-manager-at-univariety-work-from-home/
Ionixx Technologies,Founded in 2013,200 - 500 employees,"Chennai, Work From Home",83118,"Content Marketing, Content Writing",Senthilmurugan Raju,Content Writer,Marketing → Content Writing,4-6 Years,https://www.instahyre.com/job-83118-content-writer-at-ionixx-technologies-chennai-work-from-home/
Nous Infosystems,Founded in 1996,More than 1000 employees,Coimbatore,259038,"Business Development, Corporate Sales, International Sales, Sales",Arun Kumar,Senior / Executive Business Development,Sales and Business → Sales / Business Developme,1-5 Years,https://www.instahyre.com/job-259038-senior-executive-business-development-at-nous-infosystems-coimbatore/
Paypal,Founded in 1998,More than 1000 employees,"Bangalore, Chennai, Work From Home",257387,"Operations Management, Process Improvement",Sai Kiran Reddy,Internal Controls Analyst,Operations → Operations Manageme,4-7 Years,https://www.instahyre.com/job-257387-internal-controls-analyst-at-paypal-bangalore-chennai-work-from-home/
Perennial Systems,Founded in 2006,200 - 500 employees,Pune,265722,"Business Development, Corporate Sales, International Sales, Sales",Sayan Mondal,Sales Development Representative,Sales and Business → Sales / Business Developme,4-8 Years,https://www.instahyre.com/job-265722-sales-development-representative-at-perennial-systems-pune/
SunTec,Founded in 1999,More than 1000 employees,Delhi,265001,"Content Writing, English Content",Neha Goel,Content Writer,Marketing → Content Writing,3-6 Years,https://www.instahyre.com/job-265001-content-writer-at-suntec-delhi/
WeRize,Founded in 2019,50 - 200 employees,Bangalore,239213,"Python, SQL",Asha Mathpal,Data Analyst,"Software Engineering → Big Data / DWH / ETL, Data Analysis / Business Intelligence, Data Science / Machine Learning",1-6 Years,https://www.instahyre.com/job-239213-data-analyst-at-werize-bangalore/
DailyObjects,Founded in 2012,50 - 200 employees,Gurgaon,265992,"Business Development, Corporate Sales, Direct Sales, Sales",Anashwara Mathew,B2B Corporate Sales - Gifting Segment,Sales and Business → Sales / Business Developme,1-4 Years,https://www.instahyre.com/job-265992-b2b-corporate-sales-gifting-segment-at-dailyobjects-2-gurgaon/
Edvizo,Founded in 2017,10 - 50 employees,Patna,261709,"Business Development, Corporate Sales, Direct Sales, Sales",Tanzeem Ashraf,Admission Officer,Sales and Business → Sales / Business Developme,3-7 Years,https://www.instahyre.com/job-261709-admission-officer-at-edvizo-2-patna/
ElectricPe,Founded in 2021,10 - 50 employees,Bangalore,266937,"Content Marketing, Content Writing, English Content",Akshaya Lakshmi,Content Writer,Marketing → Content Writing,1-4 Years,https://www.instahyre.com/job-266937-content-writer-at-electricpe-bangalore/
Expand My Business,Founded in 2018,200 - 500 employees,Gurgaon,261355,"Business Development, International Sales, Sales",Radhika Goel,Business Development Associate,Sales and Business → Sales / Business Developme,1-3 Years,https://www.instahyre.com/job-261355-business-development-associate-at-expand-my-business-gurgaon/
Graygraph Technologies,Founded in 2015,500 - 1000 employees,Noida,262059,"Content Writing, English Content",Bhuvi Verma,Content Writer,Marketing → Content Writing,1-2 Years,https://www.instahyre.com/job-262059-content-writer-at-graygraph-technologies-noida/
India Business Ventures,Founded in 2021,50 - 200 employees,Jaipur,264783,"Sales, Telecalling",Rakshita Tibrewal,Telecaller,Sales and Business → Sales / Business Developme,0-1 Years,https://www.instahyre.com/job-264783-telecaller-at-india-business-ventures-jaipur/
Lets Influence,Founded in 2018,10 - 50 employees,Gurgaon,261226,"Business Development, Sales",Garima Garg,Lead Generation Executive,Sales and Business → Sales / Business Developme,1-3 Years,https://www.instahyre.com/job-261226-lead-generation-executive-at-lets-influence-gurgaon/
Maxposure Media Group,Founded in 2006,200 - 500 employees,Delhi,263945,"Business Development, Corporate Sales, International Sales",Sonia Garg,Business Development,Sales and Business → Sales / Business Developme,4-6 Years,https://www.instahyre.com/job-263945-business-development-at-maxposure-media-group-delhi/
Only Much Louder,Founded in 2001,50 - 200 employees,Bangalore,260537,"Business Development, CRM, Lead Generation, Marketing",Tuzar Baria,Lead Development (Influencer Marketing) (Drive),Sales and Business → Sales / Business Developme,2-6 Years,https://www.instahyre.com/job-260537-lead-development-influencer-marketing-drive-at-only-much-louder-bangalore/
PubMatic,Founded in 2006,500 - 1000 employees,Pune,265069,"Magento, Advertising, Java, Linux",Varsha Gaitonde,Principal Software Engineer,Software Engineering → Other Software Developme,7-12 Years,https://www.instahyre.com/job-265069-principal-software-engineer-at-pubmatic-pune/
Amar Ujala Publications,Founded in 1948,More than 1000 employees,Ghaziabad,244358,"Business Development, Corporate Sales, Direct Sales, Sales",Gulshan Jangid,Sales Officer,Sales and Business → Sales / Business Developme,3-8 Years,https://www.instahyre.com/job-244358-sales-officer-at-amar-ujala-publications-ghaziabad/
Assembly Travel,Founded in 2018,10 - 50 employees,Gurgaon,254296,"Content Marketing, Content Writing",Revathi Ramakrishnan,Content & Community Lead,Marketing → Content Writing,2-4 Years,https://www.instahyre.com/job-254296-content-community-lead-at-assembly-travel-gurgaon/
Brigade LED,Founded in 2014,50 - 200 employees,Bangalore,246364,"Business Development, Corporate Sales, Direct Sales, International Sales, Sales",Seenivasan M,Sales Officer (SO),Sales and Business → Sales / Business Developme,1-3 Years,https://www.instahyre.com/job-246364-sales-officer-so-at-brigade-led-bangalore/
Chatterbox Technologies,Founded in 2016,50 - 200 employees,Mumbai,258073,"Business Development, Sales",Mahek Garg,Business Development Executive,Sales and Business → Sales / Business Developme,1-3 Years,https://www.instahyre.com/job-258073-business-development-executive-at-chatterbox-technologies-mumbai/
Co-Purrb,Founded in 2017,0 - 10 employees,Pune,255503,"Business Development, Corporate Sales, Sales, Telecalling",Ayesha Lashkariya,Sales Executive,Sales and Business → Sales / Business Developme,1-2 Years,https://www.instahyre.com/job-255503-sales-executive-at-co-purrb-pune/
CommerceIQ,Founded in 2012,200 - 500 employees,Bangalore,247451,"Hibernate, J2EE, Java, Spring",Chaithra G,Software Development Engineer 2 - Data Acquisition,Software Engineering → Full-Stack Developme,3-6 Years,https://www.instahyre.com/job-247451-software-development-engineer-2-data-acquisition-at-commerceiq-bangalore/
Sigaram Holdings,Founded in 2003,50 - 200 employees,Chennai,253943,"Business Development, Sales, Telecalling",Pradeep Unnikannan,Sales Executive- Real Estate,Sales and Business → Sales / Business Developme,5-9 Years,https://www.instahyre.com/job-253943-sales-executive-real-estate-at-sigaram-holdings-chennai/
Syrup Technologies,Founded in 2007,10 - 50 employees,Delhi,256959,Business Development,Vasundhara Sharma,Business Development Manager - Digital,Sales and Business → Sales / Business Developme,4-8 Years,https://www.instahyre.com/job-256959-business-development-manager-digital-at-syrup-technologies-delhi/
Xerago,Founded in 2002,200 - 500 employees,Chennai,243792,Business Development,Raj Preethi K,Presales Cosultant,Sales and Business → Sales / Business Developme,3-6 Years,https://www.instahyre.com/job-243792-presales-cosultant-at-xerago-chennai/
ZerO CAC,Founded in 2023,10 - 50 employees,Hyderabad,255785,"Content Marketing, Content Writing",Zero Cac,Social Media Manager,Marketing → Content Writing,0-3 Years,https://www.instahyre.com/job-255785-social-media-manager-at-zero-cac-hyderabad/
ACME Group,Founded in 2012,50 - 200 employees,Noida,231007,"Business Development, Corporate Sales, Direct Sales, Sales, Telecalling",Prefect Ed,Wealth Management Executive,Sales and Business → Sales / Business Developme,1-5 Years,https://www.instahyre.com/job-231007-wealth-management-executive-at-acme-group-noida/
Axponent,Founded in 2020,10 - 50 employees,Gurgaon,229897,Operations Management,Shivangi Kant,Digital Marketing Executive,Operations → Operations Manageme,0-1 Years,https://www.instahyre.com/job-229897-digital-marketing-executive-at-axponent-gurgaon/
Ker InfoTech,Founded in 2017,10 - 50 employees,Ahmedabad,240080,"Business Development, International Sales, Sales",Geeta Sariya,Business Development Manager,Sales and Business → Sales / Business Developme,4-8 Years,https://www.instahyre.com/job-240080-business-development-manager-at-ker-infotech-ahmedabad/
Madhu Infotech,Founded in 1999,50 - 200 employees,Bangalore,240641,"Business Development, Corporate Sales, Direct Sales, Sales, Telecalling",Nikhil Philips,Telemarketing Specialist,Sales and Business → Sales / Business Developme,1-5 Years,https://www.instahyre.com/job-240641-telemarketing-specialist-at-madhu-infotech-bangalore/
Nextwebi IT Solutions,Founded in 2015,10 - 50 employees,Bangalore,234811,Operations Management,Nisha Shahapur,Front Office Assistant,Operations → Operations Manageme,1-2 Years,https://www.instahyre.com/job-234811-front-office-assistant-at-nextwebi-it-solutions-bangalore/
Story Digital,Founded in 2017,10 - 50 employees,Delhi,234706,Content Writing,Farzana Q,Sports Copywriter,Marketing → Content Writing,1-2 Years,https://www.instahyre.com/job-234706-sports-copywriter-at-story-digital-delhi/
,Founded in 2015,0 - 10 employees,,231271,"Business Development, Corporate Sales, Direct Sales, International Sales, Sales, Telecalling",Swamy B,Sales Executive (B2B),Sales and Business → Sales / Business Developme,1-4 Years,https://www.instahyre.com/job-231271-sales-executive-b2b-at-uiconnect-bangalore/
Valueleaf Services,Founded in 2006,200 - 500 employees,Gurgaon,233408,"Business Development, Corporate Sales, Direct Sales, Sales",Janvi Singh,Ad Sales,Sales and Business → Sales / Business Developme,0-0 Years,https://www.instahyre.com/job-233408-ad-sales-at-valueleaf-services-gurgaon/
Verve Media,Founded in 2016,10 - 50 employees,Mumbai,224891,"Customer Interaction, Customer Relationship, Customer Service",Pashmina Chawla,Client Servicing Executive,Sales and Business → Customer Service,1-2 Years,https://www.instahyre.com/job-224891-client-servicing-executive-at-verve-media-mumbai/
Zoetic BPO Services,Founded in 2019,10 - 50 employees,Noida,226941,"Business Development, Corporate Sales, International Sales, Sales",Neha Pandey,Business Development Executive - Sales (Tamil),Sales and Business → Sales / Business Developme,1-3 Years,https://www.instahyre.com/job-226941-business-development-executive-sales-tamil-at-zoetic-bpo-services-noida/
Blue Whistle Advertising,Founded in 2018,50 - 200 employees,Patna,172139,"Content Marketing, Content Writing, English Content, Hindi Content",Abhinay Gautam Singh,Content Writers,Marketing → Content Writing,0-2 Years,https://www.instahyre.com/job-172139-content-writers-at-blue-whistle-advertising-patna/
CommerceIQ,Founded in 2012,200 - 500 employees,Bangalore,194538,"Customer Interaction, Customer Relationship, Key Account Management",Sandhya Rani,Customer Success Specialist,Sales and Business → Customer Service,2-5 Years,https://www.instahyre.com/job-194538-customer-success-specialist-at-commerceiq-bangalore/
Ionixx Technologies,Founded in 2013,200 - 500 employees,"Chennai, Work From Home",83118,"Content Marketing, Content Writing",Senthilmurugan Raju,Content Writer,Marketing → Content Writing,4-6 Years,https://www.instahyre.com/job-83118-content-writer-at-ionixx-technologies-chennai-work-from-home/
Promobi Technologies,Founded in 2013,50 - 200 employees,Pune,164981,"Content Marketing, Content Writing, English Content",Rahul Muley,Product Content Writer,Marketing → Content Writing,2-6 Years,https://www.instahyre.com/job-164981-product-content-writer-at-promobi-technologies-pune/
Sirona Hygiene,Founded in 2015,50 - 200 employees,Delhi,221766,"Content Writing, English Content",Swati Jhamb,Copywriter,Marketing → Content Writing,4-8 Years,https://www.instahyre.com/job-221766-copywriter-at-sirona-hygiene-delhi/
Square Pixel,Founded in 2010,200 - 500 employees,Mumbai,188840,"Business Development, Corporate Sales, Direct Sales, International Sales, Sales",Fariya Ilyas,Sales Manager,Sales and Business → Sales / Business Developme,2-5 Years,https://www.instahyre.com/job-188840-sales-manager-at-square-pixel-mumbai/
Chatterbox Technologies,Founded in 2016,50 - 200 employees,Mumbai,258073,"Business Development, Sales",Mahek Garg,Business Development Executive,Sales and Business → Sales / Business Developme,1-3 Years,https://www.instahyre.com/job-258073-business-development-executive-at-chatterbox-technologies-mumbai/
CoinGape,Founded in 2017,50 - 200 employees,Gurgaon,233364,"Business Development, Sales",Drishya Bhatia,Business Development,Sales and Business → Sales / Business Developme,1-3 Years,https://www.instahyre.com/job-233364-business-development-at-coingape-gurgaon/
EduFund,Founded in 2019,10 - 50 employees,"Bangalore, Mumbai, Pune",252103,Content Writing,Supriya Samson,Content Marketer,Marketing → Content Writing,3-4 Years,https://www.instahyre.com/job-252103-content-marketer-at-edufund-bangalore-mumbai-pune/
Evertiz Solutions,Founded in 2020,0 - 10 employees,Mumbai,241809,"Content Writing, English Content",Shavin Kamble,Entertainment Content Writer,Marketing → Content Writing,1-5 Years,https://www.instahyre.com/job-241809-entertainment-content-writer-at-evertiz-solutions-mumbai/
Lets Influence,Founded in 2018,10 - 50 employees,Gurgaon,261226,"Business Development, Sales",Garima Garg,Lead Generation Executive,Sales and Business → Sales / Business Developme,1-3 Years,https://www.instahyre.com/job-261226-lead-generation-executive-at-lets-influence-gurgaon/
Mid-Day,Founded in 1979,200 - 500 employees,Mumbai,265990,"Business Development, Direct Sales, Sales",Rohith Pramod,Digital Sales Executive - Digital Marketing,Sales and Business → Sales / Business Developme,3-5 Years,https://www.instahyre.com/job-265990-digital-sales-executive-digital-marketing-at-mid-day-mumbai/
Mid-Day,Founded in 1979,200 - 500 employees,Mumbai,250742,"Content Writing, English Content",Reshma Krishnan,SUB Editor - Digital News Desk,Marketing → Content Writing,1-5 Years,https://www.instahyre.com/job-250742-sub-editor-digital-news-desk-at-mid-day-mumbai/
UloApp,Founded in 2017,10 - 50 employees,Mumbai,266953,"Content Marketing, Content Writing",Uloapp A New Wave Of Living,Content Writing Specialist,Marketing → Content Writing,2-5 Years,https://www.instahyre.com/job-266953-content-writing-specialist-at-uloapp-mumbai/
Valueleaf Services,Founded in 2006,200 - 500 employees,Gurgaon,233408,"Business Development, Corporate Sales, Direct Sales, Sales",Janvi Singh,Ad Sales,Sales and Business → Sales / Business Developme,0-0 Years,https://www.instahyre.com/job-233408-ad-sales-at-valueleaf-services-gurgaon/
YOptima,Founded in 2013,10 - 50 employees,Navi Mumbai,260615,"Customer Interaction, Customer Relationship, Customer Service, Key Account Management",Lavanya Prabhakar,Associate Program Manager,Sales and Business → Customer Service,3-7 Years,https://www.instahyre.com/job-260615-associate-program-manager-at-yoptima-navi-mumbai/
Square Pixel,Founded in 2010,200 - 500 employees,Mumbai,188840,"Business Development, Corporate Sales, Direct Sales, International Sales, Sales",Fariya Ilyas,Sales Manager,Sales and Business → Sales / Business Developme,2-5 Years,https://www.instahyre.com/job-188840-sales-manager-at-square-pixel-mumbai/
StarClinch,Founded in 2015,10 - 50 employees,Delhi,146010,"Business Development, Corporate Sales, Sales",Shambhavi From Starclinch,Inside Sales Specialist,Sales and Business → Sales / Business Developme,0-3 Years,https://www.instahyre.com/job-146010-inside-sales-specialist-at-starclinch-delhi/
UIConnect,Founded in 2015,0 - 10 employees,Bangalore,231271,"Business Development, Corporate Sales, Direct Sales, International Sales, Sales, Telecalling",Swamy B,Sales Executive (B2B),Sales and Business → Sales / Business Developme,1-4 Years,https://www.instahyre.com/job-231271-sales-executive-b2b-at-uiconnect-bangalore/
Hanumat Agencies,Founded in 2019,10 - 50 employees,Trivandrum,258362,"Business Development, Direct Sales, Sales",Nair Rinku,Sales Manager,Sales and Business → Sales / Business Developme,1-4 Years,https://www.instahyre.com/job-258362-sales-manager-at-hanumat-agencies-trivandrum/
Lo! Foods,Founded in 2019,10 - 50 employees,Bangalore,258475,"Business Development, Direct Sales, Sales",Kavita Chitlangi,Medical Sales Representative - Diabetes Category,Sales and Business → Sales / Business Developme,2-6 Years,https://www.instahyre.com/job-258475-medical-sales-representative-diabetes-category-at-lo-foods-bangalore/
Wellnest Tech,Founded in 2018,10 - 50 employees,Ahmedabad,246632,"Content Marketing, Content Writing, English Content",Kush Kansara,Content Writer,Marketing → Content Writing,3-5 Years,https://www.instahyre.com/job-246632-content-writer-at-wellnest-tech-ahmedabad/
Sapcon Steels,Founded in 1992,50 - 200 employees,Chandigarh,250042,"Corporate Sales, Direct Sales, Sales",Monika Sharma,Corporate Sales Executive,Sales and Business → Sales / Business Developme,2-4 Years,https://www.instahyre.com/job-250042-corporate-sales-executive-at-sapcon-steels-chandigarh/
Impact Guru Foundation,Founded in 2014,10 - 50 employees,Mumbai,234778,"Business Development, General Management, Operations Management, Strategic Planning",Impact Guru Foundation,Business Management Consultant,Sales and Business → General Management / Strategy,2-5 Years,https://www.instahyre.com/job-234778-business-management-consultant-at-impact-guru-foundation-mumbai/
Pledge Foundation,Founded in 2021,50 - 200 employees,Mumbai,247482,Operations Management,Sultan Sayyed,Project Coordinator,Sales and Business → General Management / Strategy,1-3 Years,https://www.instahyre.com/job-247482-project-coordinator-at-pledge-foundation-mumbai/
Computer Ware India,Founded in 1987,10 - 50 employees,Delhi,225906,"Business Development, Sales",Anju Mangla,Account Manager,Sales and Business → Sales / Business Developme,3-7 Years,https://www.instahyre.com/job-225906-account-manager-at-computer-ware-india-delhi/
Advancells,Founded in 2005,10 - 50 employees,Noida,237050,"Business Development, Direct Sales, Sales",Deepika Prajapati,Medical Representative,Sales and Business → Sales / Business Developme,1-5 Years,https://www.instahyre.com/job-237050-medical-representative-at-advancells-noida/
Apollo Pharmacy,Founded in 1987,More than 1000 employees,Hyderabad,241806,Pharmacy Operations,Suneel Chirra,Pharmacist Assistants,Sales and Business → Customer Service,0-4 Years,https://www.instahyre.com/job-241806-pharmacist-assistants-at-apollo-pharmacy-hyderabad/
Hanumat Agencies,Founded in 2019,10 - 50 employees,Trivandrum,258362,"Business Development, Direct Sales, Sales",Nair Rinku,Sales Manager,Sales and Business → Sales / Business Developme,1-4 Years,https://www.instahyre.com/job-258362-sales-manager-at-hanumat-agencies-trivandrum/
Scientific Research Instruments Company (SRICO),Founded in 2011,10 - 50 employees,"Bangalore, Hyderabad, Mumbai",264372,Sales,Soumya Sp,Sales Engineer / Sales Executive,Sales and Business → Sales / Business Developme,2-4 Years,https://www.instahyre.com/job-264372-sales-engineer-sales-executive-at-scientific-research-instruments-company-srico-bangalore-hyderabad-mumbai/
Wellnest Tech,Founded in 2018,10 - 50 employees,Ahmedabad,246632,"Content Marketing, Content Writing, English Content",Kush Kansara,Content Writer,Marketing → Content Writing,3-5 Years,https://www.instahyre.com/job-246632-content-writer-at-wellnest-tech-ahmedabad/
The Ideaz Factory,Founded in 2013,50 - 200 employees,"Chandigarh, Noida",264592,"Content Writing, English Content, Hindi Content",Rashika Deswal,Content Writer,Marketing → Content Writing,2-6 Years,https://www.instahyre.com/job-264592-content-writer-at-the-ideaz-factory-chandigarh-noida/
Amar Ujala Publications,Founded in 1948,More than 1000 employees,Ghaziabad,244358,"Business Development, Corporate Sales, Direct Sales, Sales",Gulshan Jangid,Sales Officer,Sales and Business → Sales / Business Developme,3-8 Years,https://www.instahyre.com/job-244358-sales-officer-at-amar-ujala-publications-ghaziabad/
Printbranch,Founded in 2013,50 - 200 employees,Bangalore,250129,"Business Development, Sales",Printbranch Career,Sr. Business Development Executive,Sales and Business → Sales / Business Developme,3-7 Years,https://www.instahyre.com/job-250129-sr-business-development-executive-at-printbranch-bangalore/
Kushal's Fashion Jewellery,Founded in 2006,200 - 500 employees,Bangalore,242179,"Inventory Management, Material Management, Procurement, Vendor Management",Sowmya Murthy,Administrative Executive,Operations → Operations Manageme,2-4 Years,https://www.instahyre.com/job-242179-administrative-executive-at-kushals-fashion-jewellery-bangalore/
The Ideaz Factory,Founded in 2013,50 - 200 employees,"Chandigarh, Noida",264592,"Content Writing, English Content, Hindi Content",Rashika Deswal,Content Writer,Marketing → Content Writing,2-6 Years,https://www.instahyre.com/job-264592-content-writer-at-the-ideaz-factory-chandigarh-noida/
CoinGape,Founded in 2017,50 - 200 employees,Gurgaon,233364,"Business Development, Sales",Drishya Bhatia,Business Development,Sales and Business → Sales / Business Developme,1-3 Years,https://www.instahyre.com/job-233364-business-development-at-coingape-gurgaon/
Maxposure Media Group,Founded in 2006,200 - 500 employees,Delhi,263945,"Business Development, Corporate Sales, International Sales",Sonia Garg,Business Development,Sales and Business → Sales / Business Developme,4-6 Years,https://www.instahyre.com/job-263945-business-development-at-maxposure-media-group-delhi/
Accenture,Founded in 1989,More than 1000 employees,Bangalore,261434,"Business Development, Data Analysis",Abhishu Venkata Varahagiri,Senior Principal Consultant - Data Operations,"Data Science and Analysis → Data Analysis / Business Intelligence, Operations Manageme",12-16 Years,https://www.instahyre.com/job-261434-senior-principal-consultant-data-operations-at-accenture-2-bangalore/
ASAP Realtech,Founded in 2022,10 - 50 employees,Mumbai,266265,"Direct Sales, Sales",Riya Guchait,Site Head,Sales and Business → Sales / Business Developme,5-7 Years,https://www.instahyre.com/job-266265-site-head-at-asap-realtech-mumbai/
ConvertCart,Founded in 2013,50 - 200 employees,Bangalore,264842,"Business Development, Sales",Pushpa Anjali A,Sales Manager,Sales and Business → Sales / Business Developme,1-5 Years,https://www.instahyre.com/job-264842-sales-manager-at-convertcart-2-bangalore/
Hike Education,Founded in 2014,50 - 200 employees,"Gurgaon, Hyderabad, Mumbai",265670,"Business Development, Corporate Sales, Direct Sales, International Sales, Sales, Telecalling",Mayank Singh,Team Leader,Sales and Business → Sales / Business Developme,2-5 Years,https://www.instahyre.com/job-265670-team-leader-at-hike-education-gurgaon-hyderabad-mumbai/
Hustlehub,Founded in 2018,50 - 200 employees,Bangalore,256649,"Business Development, Corporate Sales, Direct Sales, International Sales, Sales",Srilakshmi Nair,Sales Manager,Sales and Business → Sales / Business Developme,3-5 Years,https://www.instahyre.com/job-256649-sales-manager-at-hustlehub-bangalore/
Marutham Group,Founded in 1999,50 - 200 employees,Chennai,265466,"Business Development, Corporate Sales, Direct Sales, International Sales, Sales, Telecalling",Rangaraj G,Asst.Manager - Sales,Sales and Business → Sales / Business Developme,3-7 Years,https://www.instahyre.com/job-265466-asstmanager-sales-at-marutham-group-chennai/
